"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 08 23:19:54 EAT 2026","Wed Jul 08 23:19:58 EAT 2026","3069","tests","test_order_feed","TestOrderFeed","","","test_order_feed[firefox]",""
"broken","Wed Jul 08 23:21:18 EAT 2026","Wed Jul 08 23:21:21 EAT 2026","3070","tests","test_order_feed","TestOrderFeed","","","test_order_in_work[firefox]",""
"passed","Wed Jul 08 23:18:37 EAT 2026","Wed Jul 08 23:18:38 EAT 2026","1448","tests","test_main_func","TestMainFunc","","","test_ingredient_modal[chrome]",""
"passed","Wed Jul 08 23:16:42 EAT 2026","Wed Jul 08 23:16:50 EAT 2026","8102","tests","test_login","TestLogin","","","test_successful_login[firefox]",""
"passed","Wed Jul 08 23:18:10 EAT 2026","Wed Jul 08 23:18:12 EAT 2026","2052","tests","test_main_func","TestMainFunc","","","test_step_to_feed[firefox]",""
"passed","Wed Jul 08 23:20:06 EAT 2026","Wed Jul 08 23:20:12 EAT 2026","6328","tests","test_order_feed","TestOrderFeed","","","test_orders_synchronization[chrome]",""
"passed","Wed Jul 08 23:20:58 EAT 2026","Wed Jul 08 23:21:06 EAT 2026","7495","tests","test_order_feed","TestOrderFeed","","","test_order_in_work[chrome]",""
"passed","Wed Jul 08 23:22:31 EAT 2026","Wed Jul 08 23:22:33 EAT 2026","2160","tests","test_password_recovery","TestPasswordReset","","","test_show_password[firefox]",""
"passed","Wed Jul 08 23:17:49 EAT 2026","Wed Jul 08 23:17:58 EAT 2026","9499","tests","test_main_func","TestMainFunc","","","test_step_to_feed[chrome]",""
"passed","Wed Jul 08 23:19:39 EAT 2026","Wed Jul 08 23:19:41 EAT 2026","1973","tests","test_order_feed","TestOrderFeed","","","test_order_feed[chrome]",""
"broken","Wed Jul 08 23:17:41 EAT 2026","Wed Jul 08 23:17:43 EAT 2026","2632","tests","test_login","TestLogin","","","test_logout[firefox]",""
"passed","Wed Jul 08 23:18:30 EAT 2026","Wed Jul 08 23:18:31 EAT 2026","1796","tests","test_main_func","TestMainFunc","","","test_step_to_constructor[firefox]",""
"passed","Wed Jul 08 23:16:57 EAT 2026","Wed Jul 08 23:17:00 EAT 2026","3273","tests","test_login","TestLogin","","","test_step_to_order_history[chrome]",""
"passed","Wed Jul 08 23:16:25 EAT 2026","Wed Jul 08 23:16:30 EAT 2026","4515","tests","test_login","TestLogin","","","test_successful_login[chrome]",""
"passed","Wed Jul 08 23:18:57 EAT 2026","Wed Jul 08 23:18:58 EAT 2026","1207","tests","test_main_func","TestMainFunc","","","test_ingredient_counter_increase[chrome]",""
"passed","Wed Jul 08 23:18:49 EAT 2026","Wed Jul 08 23:18:51 EAT 2026","2036","tests","test_main_func","TestMainFunc","","","test_ingredient_modal[firefox]",""
"passed","Wed Jul 08 23:21:29 EAT 2026","Wed Jul 08 23:21:33 EAT 2026","4910","tests","test_password_recovery","TestPasswordReset","","","test_reset_password_link[chrome]",""
"passed","Wed Jul 08 23:22:17 EAT 2026","Wed Jul 08 23:22:20 EAT 2026","2430","tests","test_password_recovery","TestPasswordReset","","","test_show_password[chrome]",""
"broken","Wed Jul 08 23:17:12 EAT 2026","Wed Jul 08 23:17:20 EAT 2026","8430","tests","test_login","TestLogin","","","test_step_to_order_history[firefox]",""
"broken","Wed Jul 08 23:20:23 EAT 2026","Wed Jul 08 23:20:27 EAT 2026","3187","tests","test_order_feed","TestOrderFeed","","","test_orders_synchronization[firefox]",""
"passed","Wed Jul 08 23:20:33 EAT 2026","Wed Jul 08 23:20:38 EAT 2026","5381","tests","test_order_feed","TestOrderFeed","","","test_counter_orders[chrome]",""
"passed","Wed Jul 08 23:19:31 EAT 2026","Wed Jul 08 23:19:34 EAT 2026","2842","tests","test_main_func","TestMainFunc","","","test_order_placement[firefox]",""
"passed","Wed Jul 08 23:17:26 EAT 2026","Wed Jul 08 23:17:30 EAT 2026","3142","tests","test_login","TestLogin","","","test_logout[chrome]",""
"broken","Wed Jul 08 23:22:11 EAT 2026","Wed Jul 08 23:22:12 EAT 2026","1303","tests","test_password_recovery","TestPasswordReset","","","test_email_reset_success[firefox]",""
"passed","Wed Jul 08 23:21:45 EAT 2026","Wed Jul 08 23:21:47 EAT 2026","2455","tests","test_password_recovery","TestPasswordReset","","","test_reset_password_link[firefox]",""
"passed","Wed Jul 08 23:19:09 EAT 2026","Wed Jul 08 23:19:11 EAT 2026","1993","tests","test_main_func","TestMainFunc","","","test_ingredient_counter_increase[firefox]",""
"passed","Wed Jul 08 23:18:17 EAT 2026","Wed Jul 08 23:18:18 EAT 2026","1227","tests","test_main_func","TestMainFunc","","","test_step_to_constructor[chrome]",""
"passed","Wed Jul 08 23:21:53 EAT 2026","Wed Jul 08 23:21:59 EAT 2026","5957","tests","test_password_recovery","TestPasswordReset","","","test_email_reset_success[chrome]",""
"broken","Wed Jul 08 23:20:50 EAT 2026","Wed Jul 08 23:20:52 EAT 2026","1805","tests","test_order_feed","TestOrderFeed","","","test_counter_orders[firefox]",""
"passed","Wed Jul 08 23:19:17 EAT 2026","Wed Jul 08 23:19:19 EAT 2026","2662","tests","test_main_func","TestMainFunc","","","test_order_placement[chrome]",""
